word,probability
660,7.717079224673906e-06
40%,7.628522577833386e-05
‘,0.00010803910914543469
1694,9.235193170511395e-06
¿,7.590569729187448e-07
?,0.0005175503460350976
1949,0.00023669926605516194
1077,1.8976424322968622e-06
"0,25%",8.855664684052023e-07
065,2.53018990972915e-07
"0,33%",7.590569729187448e-07
900,5.933295338314856e-05
"76,7%",2.53018990972915e-07
2966,2.53018990972915e-07
1417,3.5422658736208092e-06
1166,2.403680414242692e-06
386,1.0247269134403056e-05
155,1.6319724917753013e-05
144,1.6699253404212385e-05
855,3.5422658736208092e-06
2543,1.265094954864575e-07
954,1.8976424322968622e-06
2266,1.265094954864575e-07
792,2.7832089007020645e-06
425,9.867740647943684e-06
654,3.0362278916749793e-06
460,1.3789535008023865e-05
415,5.945946287863501e-06
038,1.265094954864575e-07
2396,8.855664684052023e-07
4824,3.795284864593724e-07
145,1.7964348359076963e-05
1027,1.8976424322968622e-06
29,0.000367510084388159
1991,0.0004949051463430216
1992,0.000486429010145429
"25,7%",5.0603798194583e-07
"56,2%",6.325474774322873e-07
"62,1%",6.325474774322873e-07
92,4.845313677131321e-05
1996,0.0005164117605757194
122,1.7458310377131133e-05
101,3.5802187222667464e-05
73,5.1489364662988196e-05
64,0.00017749282216749984
99%,1.543415844934781e-05
1971,0.0003238643084453311
1959,0.00022923520582146095
85%,2.9223693457371676e-05
1983,0.00034486488469608306
1946,0.00022113859811032766
1877,5.389304507723088e-05
1896,9.855089698395037e-05
1900,0.00016117309724974683
1906,0.00011132835602808257
1917,0.00018938471474322683
1929,0.00016952272395185302
1930,0.00018166763551855292
27,0.00041191491730390556
1932,0.0001591489453219635
1934,0.0001716733853751228
1936,0.00019204141414844246
1939,0.0002817366464483408
1941,0.000264657864557669
1927,0.00014143761595385946
1910,0.00013068430883751058
1912,0.0001466245052688042
1948,0.00027174239630491066
1902,9.48821216148431e-05
1901,0.0001082921281364076
1928,0.00014852214770110108
1962,0.00027566419066499086
1943,0.00021810237021865268
1944,0.0002546636144142389
1947,0.0002353076616048109
1940,0.00026263371262988573
1942,0.0002442898357843494
1972,0.0003295572357422217
1988,0.000358401400713134
34,0.00011385854593781173
1956,0.00023480162362286508
1978,0.00032184015651754783
1937,0.0001912823571755237
1952,0.00019393905658073932
1958,0.0002332835096770276
2020,0.00041495114519558054
…,0.00011031628006419092
1968,0.0003405635618495435
53,6.376078572517457e-05
75,0.00015712479339418018
1989,0.0004422771962206553
1950,0.0002308798292627849
2099,3.4157563781343516e-06
1400,2.5681427583750867e-05
179,9.361702665997853e-06
59%,4.807360828485384e-06
19%,1.4295572989969695e-05
216,7.843588720160364e-06
547,2.5301899097291493e-06
872,3.5422658736208092e-06
1100,2.1886142719157144e-05
1083,1.2650949548645747e-06
1303,4.301322846539554e-06
1456,5.313398810431214e-06
1018,4.174813351053096e-06
668,2.7832089007020645e-06
173,7.337550738214534e-06
165,1.60667059267801e-05
1690,1.5813686935807183e-05
1982,0.00034246120428184037
35,0.0002070960441113309
595,4.04830385556664e-06
921,1.01207596389166e-06
1862,7.173088394082138e-05
1832,4.668200383450281e-05
1848,8.602645693079109e-05
1830,6.236918127482353e-05
1829,3.554916823169455e-05
1834,4.668200383450281e-05
1845,4.9844741221664246e-05
1849,5.313398810431214e-05
1856,5.4019554572717344e-05
1859,6.376078572517457e-05
1841,4.566992787061115e-05
1846,6.211616228385062e-05
1888,7.906843467903593e-05
1828,3.643473470009975e-05
1861,8.577343793981817e-05
1872,6.198965278836417e-05
932,1.6446234413239472e-06
1895,9.323749817351916e-05
3000,5.199540264493402e-05
72,7.122484595887556e-05
181,8.602645693079108e-06
135,2.416331363791338e-05
"6,48%",3.795284864593724e-07
228,6.578493765295789e-06
1887,7.059229848144327e-05
1822,3.6181715709126836e-05
1858,5.490512104112254e-05
1878,7.223692192276722e-05
1870,8.71650423901692e-05
1894,7.527314981444219e-05
1922,0.00016016102128585516
1758,1.7458310377131133e-05
1000,0.00014333525838615633
63,6.021851985155376e-05
650,2.4795861115345665e-05
250,0.00010285221983048992
245,7.464060233700991e-06
208,9.614721656970769e-06
195,8.982174179538481e-06
1881,7.135135545436202e-05
1884,6.945371302206515e-05
550,2.3404256664994632e-05
2530,1.265094954864575e-07
4600,6.325474774322873e-07
43,9.184589372316813e-05
8848,1.265094954864575e-07
2580,3.795284864593724e-07
2168,5.0603798194583e-07
142,1.353651601705095e-05
5875,2.53018990972915e-07
1880,7.28694694001995e-05
4500,6.198965278836416e-06
1704,1.2903968539618663e-05
78,5.1742383653961106e-05
139,1.0500288125375971e-05
95,0.00011651524534302734
99,6.09775768244725e-05
103,2.7199541529588358e-05
111,1.847038634102279e-05
108,2.5934446574723784e-05
129,1.60667059267801e-05
320,1.9861990791373823e-05
123,1.60667059267801e-05
132,1.707878189067176e-05
1951,0.00017863140762687795
1974,0.0003275330838144384
42,0.00010588844772216491
1953,0.0002168372752637881
1955,0.00020380679722868298
1609,1.7331800881644674e-05
1811,3.074180740320917e-05
1837,4.744106080742155e-05
6427,1.265094954864575e-07
1891,7.173088394082138e-05
1931,0.0001463714862778313
275,9.361702665997853e-06
182,1.1132835602808258e-05
1371,4.04830385556664e-06
644,1.7711329368104046e-06
1919,0.00017559517973520297
1500,7.02127699949839e-05
1659,1.2650949548645747e-05
990,3.921794360080182e-06
941,1.1385854593781173e-06
1028,1.7711329368104046e-06
1020,3.5422658736208092e-06
1111,4.04830385556664e-06
1172,1.6446234413239472e-06
1212,4.933870323971842e-06
90%,7.767683022868489e-05
100%,5.8573896410229814e-05
98%,1.505462996288844e-05
1913,0.0001282806284232679
66,8.29902290391161e-05
1790,3.5802187222667464e-05
1793,4.5922946861584065e-05
2921,2.53018990972915e-07
2785,1.265094954864575e-07
2910,6.325474774322873e-07
226,5.819436792377044e-06
8000,1.1765383080240545e-05
6000,1.505462996288844e-05
1911,0.00013068430883751058
1700,3.542265873620809e-05
55,0.00010639448570411073
2600,2.9729731439317506e-05
1903,9.728580202908579e-05
212,1.4801610971915524e-05
287,5.819436792377044e-06
4791,1.265094954864575e-07
87,6.553191866198498e-05
1886,6.51523901755256e-05
183,9.867740647943684e-06
1239,3.2892468826478945e-06
1244,6.325474774322874e-06
1750,2.6187465565696697e-05
800,0.00010867165662286698
1746,1.0500288125375971e-05
46%,8.729155188565566e-06
1349,5.819436792377044e-06
2592,1.01207596389166e-06
2568,1.265094954864575e-07
462,2.656699405215607e-06
86,4.3139737960882e-05
1905,0.0001300517613600783
1908,0.00011828637827983774
1654,1.151236408926763e-05
1821,5.642323498696003e-05
